======================================================================
TinyFold Training
======================================================================
Started: 2026-01-20 00:34:18
Script: C:\Users\costa\src\tinyfold\scripts\train.py
Command: python scripts/train.py --model af3_style --noise_type gaussian --n_steps 100000 --n_train 5000 --n_test 500 --eval_every 5000 --output_dir outputs/af3_15M_gaussian_5K --h_dim 128 --n_layers 6 --batch_size 32 --grad_accum 4 --lr 1e-3 --min_atoms 320 --max_atoms 1000

Configuration:
  output_dir:  outputs/af3_15M_gaussian_5K
  n_train:     5000
  n_test:      500
  batch_size:  32
  grad_accum:  4
  eff_batch:   128
  n_steps:     100000
  eval_every:  5000
  lr:          0.001
  model:       af3_style
  h_dim:       128
  n_layers:    6
  schedule:    linear
  noise_type:  gaussian
  noise_scale: 0.1
  T:           50

Device: cuda
  GPU: NVIDIA GeForce RTX 4070 Ti SUPER

Data split (seed=42):
  Eligible samples (320-1000 atoms): 5840
  Training: 5000 samples
  Test: 500 samples (held out, never seen during training)
  Train IDs: ['1r4p.pdb1_5', '2xf7.pdb1_5', '4hi2.pdb1_13']...
  Test IDs:  ['1dm0.pdb1_8', '2wg6.pdb2_2', '4qyb.pdb1_0']...

Preloading samples...
  Loaded 5000 train, 500 test samples
Model: af3_style
  Parameters: 14,898,179

Diffusion:
  Schedule: linear
  Noise type: gaussian

Training for 100000 steps...
======================================================================
Step 22800 | loss: 0.037130 | lr: 8.78e-04 | 14638s
Step 22900 | loss: 0.039746 | lr: 8.77e-04 | 14695s
Step 23000 | loss: 0.036141 | lr: 8.76e-04 | 14752s
Step 23100 | loss: 0.033934 | lr: 8.75e-04 | 14809s
Step 23200 | loss: 0.029758 | lr: 8.74e-04 | 14866s
Step 23300 | loss: 0.036333 | lr: 8.73e-04 | 14923s
Step 23400 | loss: 0.036949 | lr: 8.72e-04 | 14980s
Step 23500 | loss: 0.037387 | lr: 8.71e-04 | 15037s
Step 23600 | loss: 0.037888 | lr: 8.70e-04 | 15094s
Step 23700 | loss: 0.029287 | lr: 8.69e-04 | 15150s
Step 23800 | loss: 0.035506 | lr: 8.68e-04 | 15207s
Step 23900 | loss: 0.033893 | lr: 8.67e-04 | 15264s
Step 24000 | loss: 0.038427 | lr: 8.66e-04 | 15321s
Step 24100 | loss: 0.028003 | lr: 8.65e-04 | 15378s
Step 24200 | loss: 0.031426 | lr: 8.64e-04 | 15435s
Step 24300 | loss: 0.035692 | lr: 8.63e-04 | 15492s
Step 24400 | loss: 0.033755 | lr: 8.62e-04 | 15549s
Step 24500 | loss: 0.043866 | lr: 8.60e-04 | 15605s
Step 24600 | loss: 0.028610 | lr: 8.59e-04 | 15662s
Step 24700 | loss: 0.028231 | lr: 8.58e-04 | 15719s
Step 24800 | loss: 0.034190 | lr: 8.57e-04 | 15776s
Step 24900 | loss: 0.033963 | lr: 8.56e-04 | 15833s
Step 25000 | loss: 0.033140 | lr: 8.55e-04 | 15890s
         >>> Train RMSE (200): 7.8737 A | Test RMSE (500): 10.6999 A
         >>> Saved plot: outputs/af3_15M_gaussian_5K\plots\step_025000.png
         >>> New best test RMSE! Saved.
Step 25100 | loss: 0.032355 | lr: 8.54e-04 | 16349s
Step 25200 | loss: 0.032862 | lr: 8.53e-04 | 16406s
Step 25300 | loss: 0.031644 | lr: 8.52e-04 | 16462s
Step 25400 | loss: 0.027797 | lr: 8.51e-04 | 16519s
Step 25500 | loss: 0.030715 | lr: 8.49e-04 | 16576s
Step 25600 | loss: 0.030520 | lr: 8.48e-04 | 16633s
Step 25700 | loss: 0.027766 | lr: 8.47e-04 | 16690s
Step 25800 | loss: 0.028695 | lr: 8.46e-04 | 16747s
Step 25900 | loss: 0.033549 | lr: 8.45e-04 | 16804s
Step 26000 | loss: 0.032835 | lr: 8.44e-04 | 16861s
Step 26100 | loss: 0.027216 | lr: 8.43e-04 | 16918s
